customer_id,engagement_score,treated,revenue_post,company_size,region
1,46.92,0,49.42,Medium,West
2,48.46,0,57.69,Small,Midwest
3,35.36,0,54.55,Enterprise,West
4,49.84,0,60.97,Large,Northeast
5,41.03,0,51.54,Enterprise,West
6,34.79,0,47.13,Small,West
7,41.92,0,43.94,Enterprise,Midwest
8,58.11,1,60.99,Large,West
9,48.09,0,46.57,Small,South
10,44.56,0,57.98,Large,Midwest
11,71.21,1,68.29,Small,Midwest
12,58.7,1,62.92,Medium,South
13,58.22,1,60.02,Large,Midwest
14,33.34,0,39.62,Small,South
15,65.0,1,70.06,Enterprise,West
16,22.21,0,43.62,Enterprise,West
17,32.82,0,51.08,Enterprise,West
18,44.77,0,43.62,Small,Midwest
19,73.35,1,77.27,Large,West
20,21.68,0,40.21,Enterprise,South
21,46.69,0,57.23,Small,Midwest
22,27.19,0,30.42,Large,South
23,33.8,0,48.95,Small,Midwest
24,44.32,0,51.79,Large,Northeast
25,25.91,0,41.85,Large,West
26,69.77,1,68.39,Enterprise,South
27,24.98,0,39.51,Medium,West
28,55.12,1,54.5,Large,West
29,29.8,0,38.58,Small,Midwest
30,26.39,0,43.33,Large,South
31,47.76,0,60.44,Enterprise,Midwest
32,40.73,0,55.9,Large,West
33,22.71,0,42.51,Enterprise,South
34,23.89,0,39.5,Large,Midwest
35,37.95,0,59.29,Medium,West
36,66.97,1,70.89,Enterprise,Northeast
37,71.08,1,72.52,Medium,South
38,23.98,0,35.33,Large,West
39,30.3,0,46.43,Large,South
40,40.35,0,43.98,Large,West
41,59.0,1,73.91,Medium,Midwest
42,37.11,0,44.35,Medium,South
43,33.31,0,43.62,Small,West
44,55.3,1,58.4,Enterprise,Northeast
45,60.89,1,62.59,Medium,South
46,49.25,0,57.98,Medium,Northeast
47,60.11,1,64.07,Small,West
48,20.25,0,40.33,Large,Northeast
49,39.67,0,53.43,Medium,Northeast
50,56.57,1,54.7,Medium,South
51,59.06,1,67.27,Large,Midwest
52,31.67,0,46.51,Large,South
53,39.92,0,46.45,Small,South
54,33.58,0,47.45,Large,South
55,73.91,1,71.52,Medium,Midwest
56,37.76,0,35.76,Small,Midwest
57,72.92,1,77.33,Medium,Midwest
58,73.02,1,76.55,Large,Midwest
59,51.54,1,53.24,Enterprise,West
60,72.25,1,66.35,Large,Midwest
61,24.6,0,49.07,Enterprise,Midwest
62,27.57,0,47.11,Medium,South
63,44.4,0,54.15,Medium,West
64,61.51,1,66.93,Large,West
65,78.23,1,74.99,Medium,Midwest
66,48.01,0,48.68,Large,South
67,20.44,0,37.4,Large,Northeast
68,30.89,0,50.43,Small,West
69,46.28,0,56.42,Medium,Northeast
70,61.4,1,66.12,Small,South
71,55.19,1,58.36,Small,South
72,72.57,1,75.23,Medium,South
73,35.93,0,43.13,Small,South
74,52.4,1,67.6,Small,Midwest
75,28.66,0,40.7,Small,Northeast
76,58.71,1,59.0,Large,Northeast
77,65.74,1,67.02,Large,Midwest
78,50.8,1,60.47,Medium,Midwest
79,46.89,0,53.93,Large,Midwest
80,31.15,0,38.96,Large,West
81,76.04,1,74.13,Large,Northeast
82,56.37,1,67.08,Enterprise,South
83,68.91,1,68.05,Large,South
84,21.46,0,33.0,Medium,Northeast
85,35.08,0,46.48,Enterprise,West
86,48.94,0,48.81,Large,Northeast
87,52.17,1,50.43,Medium,South
88,44.3,0,49.41,Large,Northeast
89,40.24,0,58.24,Small,South
90,47.02,0,53.1,Large,West
91,41.96,0,49.61,Large,Midwest
92,22.4,0,44.75,Large,Midwest
93,61.56,1,67.84,Small,Northeast
94,66.28,1,59.81,Medium,Northeast
95,38.67,0,58.68,Large,Midwest
96,77.96,1,73.97,Medium,Northeast
97,79.22,1,78.14,Enterprise,South
98,54.11,1,58.08,Small,West
99,67.65,1,58.05,Large,South
100,52.73,1,59.78,Small,South
101,35.67,0,42.32,Large,West
102,24.2,0,47.96,Enterprise,West
103,40.67,0,43.25,Medium,Northeast
104,31.12,0,45.69,Medium,West
105,75.34,1,74.67,Enterprise,South
106,78.27,1,75.26,Medium,West
107,51.9,1,57.45,Medium,South
108,53.79,1,52.0,Medium,West
109,75.83,1,64.38,Medium,West
110,64.85,1,62.64,Large,South
111,29.72,0,37.81,Medium,South
112,77.12,1,72.18,Small,Northeast
113,54.28,1,57.33,Small,South
114,21.24,0,34.16,Small,South
115,31.77,0,38.77,Enterprise,South
116,67.81,1,59.95,Enterprise,Midwest
117,27.67,0,43.55,Medium,Midwest
118,71.08,1,65.87,Large,Northeast
119,67.18,1,67.72,Small,South
120,22.12,0,40.67,Enterprise,Northeast
121,39.86,0,48.91,Small,South
122,50.41,1,62.44,Small,South
123,24.56,0,34.91,Small,Northeast
124,54.78,1,64.65,Medium,Northeast
125,78.82,1,75.37,Medium,South
126,56.01,1,61.02,Small,South
127,49.62,0,50.77,Medium,West
128,72.01,1,70.2,Large,West
129,77.84,1,75.16,Large,South
130,74.07,1,64.04,Small,Midwest
131,22.22,0,44.16,Small,Midwest
132,25.98,0,51.68,Large,South
133,56.93,1,62.14,Large,West
134,33.6,0,53.32,Medium,South
135,51.26,1,62.01,Medium,South
136,70.31,1,70.47,Medium,West
137,76.31,1,68.65,Medium,South
138,40.02,0,48.3,Large,South
139,70.92,1,64.56,Enterprise,West
140,50.24,1,63.84,Large,South
141,59.52,1,60.04,Small,West
142,27.53,0,52.57,Enterprise,Northeast
143,23.8,0,44.09,Small,Midwest
144,66.82,1,69.38,Enterprise,Northeast
145,55.91,1,55.34,Medium,South
146,69.43,1,72.04,Large,Northeast
147,26.95,0,42.37,Medium,Midwest
148,30.31,0,42.34,Medium,Midwest
149,23.78,0,38.61,Small,South
150,59.01,1,57.3,Small,West
151,56.93,1,62.52,Medium,West
152,45.53,0,51.93,Small,Midwest
153,28.12,0,37.49,Medium,Midwest
154,21.43,0,43.29,Enterprise,Northeast
155,35.54,0,58.41,Small,South
156,20.17,0,32.96,Large,Northeast
157,76.93,1,71.9,Small,South
158,30.21,0,53.4,Large,Northeast
159,35.93,0,44.08,Large,South
160,67.91,1,70.16,Large,Midwest
161,79.7,1,75.81,Small,Northeast
162,57.23,1,65.91,Small,Northeast
163,35.2,0,56.76,Small,Midwest
164,47.17,0,44.64,Enterprise,Northeast
165,23.58,0,42.74,Medium,South
166,26.54,0,40.77,Large,West
167,62.58,1,65.09,Medium,South
168,69.77,1,69.11,Medium,Northeast
169,36.21,0,46.63,Medium,West
170,64.3,1,60.72,Small,Midwest
171,58.42,1,58.12,Medium,Midwest
172,50.58,1,69.92,Small,South
173,37.36,0,41.77,Small,West
174,79.11,1,79.69,Medium,South
175,34.88,0,42.26,Large,South
176,32.52,0,46.74,Small,Midwest
177,26.6,0,53.14,Small,Northeast
178,59.54,1,67.74,Small,Midwest
179,74.07,1,63.85,Large,West
180,28.05,0,42.34,Small,South
181,26.27,0,43.0,Large,Northeast
182,74.27,1,76.29,Medium,Midwest
183,59.63,1,64.05,Medium,West
184,78.14,1,72.28,Medium,Northeast
185,62.62,1,73.91,Medium,Midwest
186,66.3,1,75.05,Medium,Northeast
187,47.7,0,57.34,Medium,West
188,34.3,0,44.02,Enterprise,South
189,54.15,1,47.82,Large,Midwest
190,41.49,0,44.35,Enterprise,Midwest
191,48.18,0,46.37,Enterprise,South
192,50.94,1,59.16,Medium,West
193,21.59,0,45.49,Large,West
194,56.51,1,72.14,Medium,South
195,41.51,0,57.12,Medium,South
196,68.73,1,64.81,Large,Midwest
197,23.38,0,42.96,Medium,South
198,53.37,1,62.7,Medium,South
199,41.6,0,43.0,Small,Northeast
200,25.6,0,38.43,Enterprise,Northeast
201,44.82,0,50.26,Small,Midwest
202,44.56,0,62.93,Small,South
203,65.2,1,68.53,Small,Northeast
204,29.12,0,37.99,Large,West
205,69.82,1,66.79,Medium,South
206,22.87,0,43.68,Enterprise,Northeast
207,50.94,1,58.22,Medium,South
208,58.94,1,61.69,Large,West
209,20.86,0,44.09,Small,West
210,24.15,0,49.08,Medium,South
211,36.41,0,54.29,Large,Midwest
212,42.89,0,49.94,Small,South
213,40.79,0,49.57,Medium,Midwest
214,78.28,1,71.59,Large,South
215,30.02,0,50.29,Large,Northeast
216,73.44,1,68.78,Enterprise,West
217,76.67,1,62.72,Medium,South
218,30.54,0,47.68,Small,South
219,65.52,1,69.4,Enterprise,Midwest
220,79.89,1,71.92,Enterprise,South
221,34.87,0,56.7,Medium,West
222,50.16,1,56.37,Small,Northeast
223,65.53,1,73.85,Small,Northeast
224,64.09,1,59.35,Large,Midwest
225,69.99,1,70.38,Small,South
226,40.89,0,46.4,Small,Northeast
227,27.24,0,43.25,Medium,Northeast
228,60.59,1,68.1,Large,West
229,40.37,0,47.34,Medium,West
230,58.76,1,59.89,Medium,Midwest
231,48.41,0,53.09,Large,West
232,47.52,0,72.56,Large,West
233,72.89,1,71.46,Medium,West
234,58.43,1,63.93,Small,South
235,57.47,1,64.91,Small,Northeast
236,78.25,1,64.55,Small,Midwest
237,36.18,0,52.7,Small,West
238,61.31,1,68.21,Medium,West
239,41.33,0,41.75,Small,Northeast
240,55.94,1,73.99,Large,West
241,69.03,1,68.53,Small,Northeast
242,75.37,1,66.1,Enterprise,South
243,45.63,0,54.38,Small,West
244,69.93,1,64.42,Medium,South
245,40.1,0,42.0,Large,Midwest
246,59.66,1,62.47,Enterprise,Northeast
247,72.66,1,69.19,Small,West
248,61.13,1,56.69,Large,Northeast
249,62.34,1,61.27,Large,Midwest
250,70.26,1,63.96,Medium,Northeast
251,35.15,0,45.79,Large,Northeast
252,64.81,1,69.65,Medium,South
253,58.26,1,63.84,Medium,Northeast
254,52.75,1,60.21,Small,Northeast
255,78.51,1,64.13,Small,Northeast
256,44.75,0,52.23,Medium,West
257,34.09,0,41.61,Small,Northeast
258,70.36,1,60.59,Small,Midwest
259,31.11,0,49.94,Small,Midwest
260,64.72,1,59.7,Large,West
261,75.69,1,72.32,Large,South
262,69.29,1,66.21,Large,Northeast
263,57.99,1,58.23,Enterprise,Northeast
264,75.39,1,77.79,Enterprise,Northeast
265,49.33,0,51.66,Small,South
266,24.54,0,39.61,Medium,Midwest
267,64.1,1,62.37,Medium,West
268,63.01,1,66.38,Small,West
269,71.92,1,69.16,Small,West
270,44.37,0,48.67,Enterprise,Northeast
271,28.7,0,39.74,Medium,Midwest
272,26.16,0,42.87,Medium,Northeast
273,40.72,0,47.11,Large,West
274,67.58,1,76.41,Large,South
275,51.28,1,57.01,Enterprise,Midwest
276,30.23,0,46.78,Enterprise,Midwest
277,34.51,0,46.8,Small,Midwest
278,40.9,0,49.01,Large,South
279,48.82,0,58.91,Small,West
280,70.37,1,72.08,Enterprise,South
281,79.54,1,76.57,Small,West
282,55.96,1,64.73,Medium,South
283,43.35,0,43.6,Enterprise,Northeast
284,31.0,0,47.7,Large,South
285,50.66,1,58.09,Small,Northeast
286,56.79,1,59.83,Small,South
287,39.62,0,67.11,Medium,Northeast
288,39.44,0,42.35,Medium,West
289,69.71,1,68.4,Large,Midwest
290,59.6,1,62.94,Small,Northeast
291,47.02,0,53.1,Large,Midwest
292,53.46,1,55.66,Medium,West
293,50.28,1,60.27,Enterprise,Northeast
294,30.46,0,39.61,Large,South
295,72.22,1,71.53,Enterprise,West
296,25.46,0,43.51,Small,Northeast
297,32.78,0,45.17,Enterprise,West
298,53.7,1,60.49,Enterprise,West
299,47.67,0,61.75,Medium,South
300,55.72,1,64.75,Enterprise,South
301,75.18,1,72.46,Large,West
302,37.16,0,50.7,Enterprise,Northeast
303,29.04,0,44.72,Large,South
304,27.28,0,46.4,Enterprise,Northeast
305,23.54,0,38.74,Small,Midwest
306,67.45,1,78.78,Small,Midwest
307,47.45,0,54.66,Medium,West
308,35.35,0,61.81,Large,Northeast
309,60.44,1,75.31,Small,South
310,66.64,1,64.8,Medium,Midwest
311,76.23,1,73.31,Small,South
312,43.97,0,53.81,Enterprise,West
313,61.37,1,69.35,Large,Northeast
314,36.24,0,48.78,Small,Northeast
315,71.93,1,76.0,Small,South
316,74.52,1,62.47,Enterprise,West
317,57.82,1,59.86,Medium,Midwest
318,59.54,1,62.81,Large,West
319,59.58,1,60.46,Enterprise,Midwest
320,55.49,1,53.09,Enterprise,West
321,46.33,0,57.58,Small,South
322,64.42,1,60.67,Large,West
323,78.6,1,69.93,Enterprise,West
324,64.75,1,70.15,Small,South
325,38.57,0,55.41,Large,Northeast
326,50.03,1,56.19,Large,West
327,55.82,1,56.73,Small,South
328,24.93,0,38.4,Medium,Midwest
329,49.52,0,60.33,Small,South
330,26.15,0,48.93,Small,South
331,50.63,1,61.0,Small,South
332,25.22,0,43.84,Medium,South
333,41.68,0,44.25,Medium,Midwest
334,77.27,1,74.96,Enterprise,West
335,20.45,0,44.15,Enterprise,Midwest
336,36.46,0,49.06,Enterprise,South
337,42.3,0,52.16,Large,South
338,55.4,1,56.54,Small,South
339,77.93,1,78.81,Medium,Northeast
340,58.38,1,56.4,Large,Midwest
341,73.63,1,70.73,Enterprise,West
342,29.76,0,47.17,Medium,Northeast
343,37.32,0,54.36,Large,Midwest
344,73.22,1,75.88,Enterprise,South
345,20.31,0,45.85,Large,West
346,47.23,0,52.1,Large,South
347,47.17,0,65.21,Enterprise,West
348,76.78,1,77.83,Large,Midwest
349,46.95,0,51.71,Small,West
350,74.38,1,69.75,Enterprise,Midwest
351,55.12,1,65.36,Large,Midwest
352,38.0,0,46.66,Small,South
353,28.9,0,38.06,Enterprise,South
354,49.41,0,55.12,Small,Northeast
355,21.06,0,29.17,Enterprise,West
356,40.11,0,51.85,Large,Midwest
357,51.38,1,62.88,Small,Midwest
358,53.5,1,59.42,Enterprise,Northeast
359,46.64,0,59.07,Small,South
360,77.84,1,77.18,Enterprise,Northeast
361,28.89,0,39.35,Large,Northeast
362,79.85,1,74.15,Medium,South
363,61.48,1,62.14,Enterprise,Northeast
364,69.5,1,67.13,Small,Midwest
365,58.06,1,68.76,Medium,South
366,32.9,0,49.58,Large,South
367,65.04,1,62.93,Small,Midwest
368,70.89,1,70.57,Small,Midwest
369,65.12,1,62.78,Large,South
370,72.44,1,67.79,Medium,West
371,23.81,0,49.6,Medium,South
372,77.72,1,85.59,Large,Midwest
373,76.35,1,81.07,Medium,West
374,73.82,1,72.3,Small,Northeast
375,58.24,1,64.04,Small,South
376,70.8,1,74.5,Small,Northeast
377,56.29,1,62.65,Large,South
378,49.53,0,47.64,Small,South
379,75.86,1,81.03,Enterprise,West
380,32.45,0,40.29,Small,Northeast
381,71.09,1,75.59,Medium,Northeast
382,46.43,0,57.02,Large,Northeast
383,37.52,0,58.06,Small,West
384,50.37,1,63.5,Medium,Northeast
385,58.24,1,60.18,Small,Midwest
386,30.96,0,50.91,Enterprise,Northeast
387,65.07,1,64.72,Small,Northeast
388,43.68,0,46.95,Small,West
389,62.22,1,55.95,Large,Midwest
390,29.43,0,44.1,Medium,Midwest
391,23.36,0,33.24,Enterprise,West
392,29.69,0,52.03,Enterprise,West
393,30.83,0,37.56,Large,West
394,65.69,1,64.95,Small,Northeast
395,49.55,0,53.09,Large,Northeast
396,65.84,1,67.78,Small,West
397,64.82,1,62.07,Small,Midwest
398,34.72,0,53.03,Small,South
399,74.65,1,72.14,Medium,South
400,66.14,1,66.98,Medium,Midwest
401,25.12,0,39.31,Large,Midwest
402,54.34,1,63.92,Medium,Northeast
403,44.76,0,59.37,Small,Northeast
404,47.57,0,67.26,Small,South
405,42.03,0,46.31,Medium,West
406,49.78,0,54.21,Large,South
407,41.34,0,41.13,Small,West
408,47.77,0,57.28,Large,Midwest
409,52.68,1,53.52,Enterprise,West
410,63.84,1,67.3,Small,West
411,29.09,0,50.72,Large,South
412,28.01,0,41.95,Enterprise,Midwest
413,49.87,0,50.28,Enterprise,Midwest
414,48.5,0,60.84,Small,Northeast
415,53.83,1,64.47,Small,Northeast
416,56.8,1,56.75,Large,Midwest
417,36.45,0,48.92,Medium,West
418,58.86,1,59.16,Small,South
419,49.74,0,60.17,Medium,South
420,49.75,0,55.49,Medium,West
421,55.63,1,69.46,Small,South
422,56.73,1,57.71,Small,West
