zip_code,week,treated,revenue,market_size
94104,1,1,38.96,16.15
94104,2,1,48.02,16.15
94104,3,1,44.96,16.15
94104,4,1,48.56,16.15
94104,5,1,48.6,16.15
94104,6,1,43.06,16.15
94104,7,1,44.96,16.15
94104,8,1,41.38,16.15
94104,9,1,49.97,16.15
94104,10,1,47.53,16.15
94104,11,1,53.42,16.15
94104,12,1,52.26,16.15
94104,13,1,50.44,16.15
94104,14,1,57.46,16.15
94104,15,1,59.89,16.15
94104,16,1,58.1,16.15
94104,17,1,53.9,16.15
94104,18,1,55.83,16.15
94104,19,1,58.14,16.15
94104,20,1,55.47,16.15
46203,1,1,58.61,42.59
46203,2,1,56.78,42.59
46203,3,1,61.66,42.59
46203,4,1,54.15,42.59
46203,5,1,46.58,42.59
46203,6,1,54.31,42.59
46203,7,1,53.22,42.59
46203,8,1,55.14,42.59
46203,9,1,60.23,42.59
46203,10,1,53.52,42.59
46203,11,1,58.91,42.59
46203,12,1,59.73,42.59
46203,13,1,68.4,42.59
46203,14,1,60.81,42.59
46203,15,1,63.24,42.59
46203,16,1,68.26,42.59
46203,17,1,64.98,42.59
46203,18,1,56.49,42.59
46203,19,1,62.06,42.59
46203,20,1,61.82,42.59
05401,1,1,48.59,28.48
05401,2,1,52.65,28.48
05401,3,1,46.18,28.48
05401,4,1,55.58,28.48
05401,5,1,54.89,28.48
05401,6,1,53.01,28.48
05401,7,1,49.97,28.48
05401,8,1,59.84,28.48
05401,9,1,54.22,28.48
05401,10,1,59.48,28.48
05401,11,1,62.07,28.48
05401,12,1,67.09,28.48
05401,13,1,64.73,28.48
05401,14,1,63.57,28.48
05401,15,1,60.98,28.48
05401,16,1,67.66,28.48
05401,17,1,63.41,28.48
05401,18,1,61.85,28.48
05401,19,1,64.08,28.48
05401,20,1,64.68,28.48
30308,1,1,62.19,31.11
30308,2,1,54.19,31.11
30308,3,1,67.25,31.11
30308,4,1,61.75,31.11
30308,5,1,60.58,31.11
30308,6,1,62.22,31.11
30308,7,1,56.56,31.11
30308,8,1,61.79,31.11
30308,9,1,63.63,31.11
30308,10,1,61.06,31.11
30308,11,1,69.77,31.11
30308,12,1,70.85,31.11
30308,13,1,66.54,31.11
30308,14,1,72.74,31.11
30308,15,1,69.08,31.11
30308,16,1,75.24,31.11
30308,17,1,73.71,31.11
30308,18,1,71.26,31.11
30308,19,1,67.87,31.11
30308,20,1,70.24,31.11
63101,1,1,69.72,26.04
63101,2,1,65.28,26.04
63101,3,1,68.52,26.04
63101,4,1,69.13,26.04
63101,5,1,67.41,26.04
63101,6,1,65.55,26.04
63101,7,1,73.07,26.04
63101,8,1,69.96,26.04
63101,9,1,67.9,26.04
63101,10,1,66.69,26.04
63101,11,1,78.02,26.04
63101,12,1,75.38,26.04
63101,13,1,78.79,26.04
63101,14,1,73.35,26.04
63101,15,1,77.29,26.04
63101,16,1,75.21,26.04
63101,17,1,82.13,26.04
63101,18,1,78.28,26.04
63101,19,1,74.45,26.04
63101,20,1,80.5,26.04
46204,1,0,52.21,21.17
46204,2,0,47.76,21.17
46204,3,0,46.61,21.17
46204,4,0,42.69,21.17
46204,5,0,52.86,21.17
46204,6,0,44.56,21.17
46204,7,0,49.94,21.17
46204,8,0,45.17,21.17
46204,9,0,56.02,21.17
46204,10,0,54.88,21.17
46204,11,0,52.04,21.17
46204,12,0,54.55,21.17
46204,13,0,51.27,21.17
46204,14,0,49.45,21.17
46204,15,0,47.16,21.17
46204,16,0,54.83,21.17
46204,17,0,49.69,21.17
46204,18,0,60.56,21.17
46204,19,0,49.91,21.17
46204,20,0,56.54,21.17
84103,1,0,42.45,30.5
84103,2,0,34.86,30.5
84103,3,0,37.8,30.5
84103,4,0,38.72,30.5
84103,5,0,50.12,30.5
84103,6,0,39.2,30.5
84103,7,0,36.78,30.5
84103,8,0,41.94,30.5
84103,9,0,37.58,30.5
84103,10,0,40.8,30.5
84103,11,0,39.89,30.5
84103,12,0,43.07,30.5
84103,13,0,40.09,30.5
84103,14,0,39.95,30.5
84103,15,0,45.54,30.5
84103,16,0,43.43,30.5
84103,17,0,42.92,30.5
84103,18,0,37.32,30.5
84103,19,0,45.22,30.5
84103,20,0,42.21,30.5
29405,1,0,59.05,19.87
29405,2,0,52.95,19.87
29405,3,0,59.58,19.87
29405,4,0,59.59,19.87
29405,5,0,58.58,19.87
29405,6,0,56.88,19.87
29405,7,0,63.3,19.87
29405,8,0,57.82,19.87
29405,9,0,63.06,19.87
29405,10,0,63.73,19.87
29405,11,0,58.35,19.87
29405,12,0,63.36,19.87
29405,13,0,60.09,19.87
29405,14,0,63.56,19.87
29405,15,0,59.1,19.87
29405,16,0,61.82,19.87
29405,17,0,62.66,19.87
29405,18,0,62.6,19.87
29405,19,0,64.1,19.87
29405,20,0,60.79,19.87
23223,1,0,61.22,38.17
23223,2,0,65.28,38.17
23223,3,0,62.17,38.17
23223,4,0,62.18,38.17
23223,5,0,61.41,38.17
23223,6,0,62.81,38.17
23223,7,0,61.38,38.17
23223,8,0,66.91,38.17
23223,9,0,63.64,38.17
23223,10,0,62.0,38.17
23223,11,0,64.9,38.17
23223,12,0,61.58,38.17
23223,13,0,63.47,38.17
23223,14,0,70.36,38.17
23223,15,0,63.3,38.17
23223,16,0,66.4,38.17
23223,17,0,73.71,38.17
23223,18,0,68.1,38.17
23223,19,0,66.08,38.17
23223,20,0,61.92,38.17
23222,1,0,63.18,11.77
23222,2,0,60.64,11.77
23222,3,0,64.88,11.77
23222,4,0,61.44,11.77
23222,5,0,64.56,11.77
23222,6,0,68.33,11.77
23222,7,0,66.27,11.77
23222,8,0,60.56,11.77
23222,9,0,65.05,11.77
23222,10,0,67.93,11.77
23222,11,0,60.75,11.77
23222,12,0,70.63,11.77
23222,13,0,66.26,11.77
23222,14,0,67.83,11.77
23222,15,0,65.33,11.77
23222,16,0,66.76,11.77
23222,17,0,64.2,11.77
23222,18,0,71.79,11.77
23222,19,0,72.79,11.77
23222,20,0,74.12,11.77
96802,1,0,49.41,33.75
96802,2,0,55.96,33.75
96802,3,0,56.53,33.75
96802,4,0,53.38,33.75
96802,5,0,56.88,33.75
96802,6,0,51.71,33.75
96802,7,0,60.7,33.75
96802,8,0,51.95,33.75
96802,9,0,57.56,33.75
96802,10,0,59.44,33.75
96802,11,0,55.54,33.75
96802,12,0,61.72,33.75
96802,13,0,52.39,33.75
96802,14,0,58.04,33.75
96802,15,0,53.33,33.75
96802,16,0,56.34,33.75
96802,17,0,57.44,33.75
96802,18,0,57.52,33.75
96802,19,0,63.26,33.75
96802,20,0,56.19,33.75
48202,1,0,65.34,16.75
48202,2,0,68.97,16.75
48202,3,0,70.86,16.75
48202,4,0,72.3,16.75
48202,5,0,74.51,16.75
48202,6,0,64.86,16.75
48202,7,0,76.64,16.75
48202,8,0,69.39,16.75
48202,9,0,71.27,16.75
48202,10,0,72.44,16.75
48202,11,0,66.12,16.75
48202,12,0,71.6,16.75
48202,13,0,76.13,16.75
48202,14,0,75.31,16.75
48202,15,0,72.18,16.75
48202,16,0,74.58,16.75
48202,17,0,75.59,16.75
48202,18,0,73.7,16.75
48202,19,0,76.21,16.75
48202,20,0,72.6,16.75
04103,1,0,44.42,28.21
04103,2,0,46.63,28.21
04103,3,0,40.54,28.21
04103,4,0,50.13,28.21
04103,5,0,48.56,28.21
04103,6,0,47.91,28.21
04103,7,0,51.23,28.21
04103,8,0,50.26,28.21
04103,9,0,52.56,28.21
04103,10,0,54.37,28.21
04103,11,0,50.88,28.21
04103,12,0,48.0,28.21
04103,13,0,52.59,28.21
04103,14,0,48.53,28.21
04103,15,0,48.66,28.21
04103,16,0,50.33,28.21
04103,17,0,54.95,28.21
04103,18,0,53.99,28.21
04103,19,0,54.66,28.21
04103,20,0,52.63,28.21
89101,1,0,67.7,9.15
89101,2,0,68.06,9.15
89101,3,0,64.45,9.15
89101,4,0,68.55,9.15
89101,5,0,67.03,9.15
89101,6,0,66.09,9.15
89101,7,0,66.5,9.15
89101,8,0,66.18,9.15
89101,9,0,67.26,9.15
89101,10,0,68.34,9.15
89101,11,0,70.62,9.15
89101,12,0,73.42,9.15
89101,13,0,70.86,9.15
89101,14,0,69.77,9.15
89101,15,0,63.68,9.15
89101,16,0,77.2,9.15
89101,17,0,68.08,9.15
89101,18,0,68.44,9.15
89101,19,0,74.52,9.15
89101,20,0,67.69,9.15
23219,1,0,39.51,22.99
23219,2,0,37.27,22.99
23219,3,0,38.17,22.99
23219,4,0,39.34,22.99
23219,5,0,35.87,22.99
23219,6,0,39.34,22.99
23219,7,0,43.05,22.99
23219,8,0,40.02,22.99
23219,9,0,51.0,22.99
23219,10,0,41.04,22.99
23219,11,0,37.44,22.99
23219,12,0,39.73,22.99
23219,13,0,35.75,22.99
23219,14,0,45.05,22.99
23219,15,0,46.9,22.99
23219,16,0,44.87,22.99
23219,17,0,40.09,22.99
23219,18,0,40.25,22.99
23219,19,0,45.34,22.99
23219,20,0,41.83,22.99
94108,1,0,24.76,18.62
94108,2,0,24.68,18.62
94108,3,0,33.47,18.62
94108,4,0,26.74,18.62
94108,5,0,30.89,18.62
94108,6,0,30.3,18.62
94108,7,0,26.37,18.62
94108,8,0,29.3,18.62
94108,9,0,26.44,18.62
94108,10,0,34.05,18.62
94108,11,0,27.24,18.62
94108,12,0,31.33,18.62
94108,13,0,29.01,18.62
94108,14,0,27.98,18.62
94108,15,0,34.25,18.62
94108,16,0,29.72,18.62
94108,17,0,26.06,18.62
94108,18,0,33.09,18.62
94108,19,0,29.95,18.62
94108,20,0,32.81,18.62
33101,1,0,40.8,19.64
33101,2,0,39.56,19.64
33101,3,0,41.42,19.64
33101,4,0,35.13,19.64
33101,5,0,42.88,19.64
33101,6,0,38.65,19.64
33101,7,0,35.53,19.64
33101,8,0,32.71,19.64
33101,9,0,39.41,19.64
33101,10,0,38.24,19.64
33101,11,0,38.55,19.64
33101,12,0,42.13,19.64
33101,13,0,46.55,19.64
33101,14,0,38.95,19.64
33101,15,0,42.19,19.64
33101,16,0,40.48,19.64
33101,17,0,39.48,19.64
33101,18,0,39.66,19.64
33101,19,0,47.9,19.64
33101,20,0,43.27,19.64
98106,1,0,43.68,8.3
98106,2,0,42.46,8.3
98106,3,0,44.98,8.3
98106,4,0,43.13,8.3
98106,5,0,51.1,8.3
98106,6,0,46.33,8.3
98106,7,0,46.25,8.3
98106,8,0,46.45,8.3
98106,9,0,50.28,8.3
98106,10,0,46.56,8.3
98106,11,0,45.46,8.3
98106,12,0,47.63,8.3
98106,13,0,49.79,8.3
98106,14,0,51.22,8.3
98106,15,0,48.58,8.3
98106,16,0,48.89,8.3
98106,17,0,51.44,8.3
98106,18,0,40.53,8.3
98106,19,0,49.26,8.3
98106,20,0,47.5,8.3
19106,1,0,50.18,20.42
19106,2,0,51.34,20.42
19106,3,0,54.27,20.42
19106,4,0,46.64,20.42
19106,5,0,48.9,20.42
19106,6,0,48.65,20.42
19106,7,0,49.77,20.42
19106,8,0,47.74,20.42
